Sample Name,Date Collected,Sample prep date,Sex1F2M,1-Decanol REL,1-Undecanol REL,1-Dodecanol REL,1-Tridecanol REL,1-Tetradecanol REL,1-Pentadecanol REL,1-Hexadecanol REL,1-Heptadecanol REL,1-Octadecanol REL,2-Tridecanone REL,2-Tetradecanone REL,2-Pentadecanone REL,Tetradecanoic acid REL,Hexadecanoic acid REL,Prop1Decanol,Prop1Undecanol,Prop1Dodecanol,Prop1Tridecanol,Prop1Tetradecanol,Prop1Pentadecanol,Prop1Hexadecanol,Prop1Heptadecanol,Prop1Octadecanol,Prop2Undecanone,Prop2Dodecanone,Prop2Tridecanone,Prop2Tetradecanone,Prop2Pentadecanone,Prop2Hexadecanone,PropDodecanoic acid,PropTetradecanoic acid,PropHexadecanoic acid,PropStearic acid,Abs1Decanol,Abs1Undecanol,Abs1Dodecanol,Abs1Tridecanol,Abs1Tetradecanol,Abs1Pentadecanol,Abs1Hexadecanol,Abs1Heptadecanol,Abs1Octadecanol,Abs2Undecanone,Abs2Dodecanone,Abs2Tridecanone,Abs2Tetradecanone,Abs2Pentadecanone,Abs2Hexadecanone,AbsDodecanoic acid,AbsTetradecanoic acid,AbsHexadecanoic acid,AbsStearic acid,Date Collected 2,AR pg fold,stage (exact),stage coded,Embryo length (mm),mass,latency to 1m,latency to 5m,latency to song,closest approach,average distance,"Avg distance, excluding inc",Time <1,Time < 1/4,Within 1/4?,songs,caught time,euth time,Time responding,time incubating,INCUBATED,SQRT flyovers,Total Tail White,AR hypo rel,AR hypo fold,AR nt rel,AR nt fold,AR rel PTR,AR fold PTR,T (uncorrected) ng/mL,T corrected (ng/mL),EIA plate,"T, including plate multiplier (ng/mL)",Ln T with multiplier
VAF10,5/22/10,3/7/12,1,2.828893859,26.39940863,15.59820642,14.52508642,11.82147638,6.787036566,12.90052698,2.700115223,1.038913176,1.553921818,0.282656398,1.816562458,1.159960858,0.587234818,0.028038296,0.26165507,0.154600046,0.143963926,0.117167368,0.067269027,0.127862269,0.026761919,0.010297083,0.000488088,0.000586755,0.015401539,0.00280152,0.018004675,0.000735806,0.006059639,0.011496835,0.005820319,0.000989822,1.716400648,16.01755468,9.46404246,8.812938546,7.172552497,4.117960778,7.827254736,,0.630349295,0.029878942,0.035918986,0.942825199,0.171498702,1.102179556,0.045043308,0.370948673,0.703793662,0.356298353,0.060593209,142,6.01,inc (mid),2.Mid,15.5,21.5,0.2,0.0666667,,0.25,1.040277778,1.04027778,5.4,3.76666667,1,,9.5,12.5,6,0,0,2.645751311,2.04,3.13,1.65,3.17,1.66,1.23,0.304,0.250290165,0.298422889,40965,0.298422889,-1.209243708
VAF11,5/22/10,3/7/12,1,1.824272528,21.80474025,13.99729068,17.51173512,11.65740809,7.371228748,11.46198032,2.052884161,0.652651034,4.203849748,0.806388944,4.794543564,1.120270512,0.740756298,0.018158993,0.217046582,0.139330442,0.174313576,0.116039015,0.073373954,0.114093707,0.020434616,0.006496554,0.000607321,0.000968995,0.041845544,0.008026877,0.04772537,0.001129972,,0.011151286,0.007373563,0.001883635,1.457272521,17.41814796,11.18137053,13.98879279,9.31221636,5.888313802,9.156103985,1.639892961,0.521353254,0.048737931,0.077762585,3.358135711,0.644162773,3.829996057,0.090681073,,0.894898875,0.591733846,0.151163083,142,2.05,inc (early),1.Early,5.5,22.7,1.1166667,0.6666667,,0.25,9.854166667,3.694,2.616666667,1.43333333,1,,19,21,3.73333333,2.2666667,1,0,1.92,2.92,1.55,1.65,0.726,0.909,-0.138,0.205305721,0.410611442,40965,0.410611442,-0.890107908
VAF12,5/23/10,3/8/12,1,2.105142514,23.51675097,15.20691579,17.61089078,9.907147877,8.269552628,12.32393239,1.915527996,0.46417634,1.621751903,0.566483906,2.236102941,3.119622322,1.136001645,0.020669602,0.230902131,0.149310986,0.172914712,0.097274558,0.081195627,0.121004056,0.018807849,0.004557573,,0.001426517,0.015923372,0.005562092,0.021955454,0.002712368,0.013998732,0.030630398,0.011153973,,4.399436421,49.14653047,31.7802043,36.80415639,20.70447341,17.2821416,25.75519549,4.00317013,0.97005988,,0.303628038,3.389221557,1.183867559,4.67312434,0.577315956,2.979570271,6.519549137,2.374075379,,143,4.12,inc (early),1.Early,0,24.4,0.6833333,0,,0.25,11.37083333,3.1086,1.35,0.5,1,,10,12,3.06666667,2.9333333,1,2,1.97,2.53,1.34,2.225,1.1365,0.885,-0.176,0.2052292,0.298515201,40965,0.298515201,-1.208934423
VAF13,5/25/10,3/8/12,1,2.872948782,30.46093707,14.6586828,15.33551577,9.100364661,6.586966131,12.00066302,1.540692856,0.499751367,1.988507652,0.2892425,2.428725344,1.299243052,0.937758992,0.028478634,0.301949648,0.145306893,0.152016124,0.090209041,0.065294515,0.118958782,0.015272402,0.004953878,,0.000442262,0.019711448,0.00286717,0.024075187,0.000544954,0.004848447,0.012878986,0.009295709,0.002895923,1.615631991,17.13001802,8.243459483,8.624083396,5.1176827,3.704247452,6.748695004,0.86642431,0.281040269,,0.025090107,1.118257519,0.162658464,1.365818419,0.030915983,0.275059036,0.730642555,0.527358315,0.164289709,145,2.28,inc (late),3.Late,23,20.7,0.9166667,0,,0.25,7.940277778,1.91,2.783333333,1.63333333,1,,12,14.5,4,2,1,1.732050808,2.36,2.63,1.4,2.43,1.28,0.417,-1.26,0.393357767,0.472029321,40926,0.620624151,-0.477029612
VAF14,5/30/10,3/8/12,1,3.273667469,32.23086692,14.44292839,13.83558802,8.176410367,5.361157539,11.87509803,2.230175422,0.877194462,2.092381176,0.389433188,2.55602424,1.599897455,1.059177316,0.032333241,0.318336662,0.142649393,0.136650836,0.080756475,0.052950887,0.117287539,0.022026916,0.008663843,0.001062783,0.001039461,0.020665955,0.00384634,0.025245248,0.001372622,0.006873104,0.015801809,0.010461244,0.001975643,1.482630083,14.59722265,6.541140884,6.266079013,3.703061505,2.428045464,5.378181429,1.01003697,0.397277644,0.048733539,0.047664151,0.947630542,0.176372636,1.157612515,0.062941123,0.315163922,0.724586758,0.479696905,0.090592441,150,3.23,inc (mid),2.Mid,13.5,20.7,0.6666667,0,,1,17.28611111,4.49,0.133333333,0,0,,,,1.05,4.95,1,0,2.76,3.31,1.73,0.764,-0.388,0.881,-0.183,0.306344799,0.351395504,40965,0.351395504,-1.045842898
VAF15,6/1/10,3/8/12,1,1.689977693,23.62284308,14.69827561,14.30216021,13.74318303,5.726111216,16.65476743,2.485649239,1.200102075,1.439663725,0.308089757,1.798791153,1.431778691,0.898607073,0.016707178,0.233536244,0.145307661,0.141391651,0.135865583,0.056608534,0.164649607,0.024573214,0.011864251,0.000678889,0.000890067,0.014232565,0.003045786,0.017782912,0.001179197,0.005907323,0.014154614,0.008883661,0.002741066,1.177222522,16.4554497,10.23868017,9.962749915,9.573371682,3.988755068,11.60155392,1.731479817,0.835979787,0.0478359,0.062715961,1.002856173,0.214612419,1.253020952,0.083088661,0.416242235,0.997363533,0.625961212,0.193141191,152,3.32,mid-late,2.Mid,16.6,21.8,0.6,0,,0.25,0.73125,0.73125,5.4,5.35,1,,9,10.5,6,0,0,1.732050808,2.13,2.72,1.44,1.675,0.7415,0.494,-1.02,0.391511483,0.489389354,40965,0.489389354,-0.714596881
VAF16,6/3/10,3/8/12,1,3.100133039,29.15036897,15.40798633,16.89147105,9.956749862,6.543451939,10.40270463,1.479373969,0.456293941,2.159018999,0.3119192,2.426716428,1.053350142,0.660461501,0.030701646,0.288685777,0.152590401,0.167281843,0.098604998,0.064801976,0.103021436,0.014650731,0.00451883,0.000534167,0.000523064,0.021381482,0.003089039,0.024032578,0.000639027,0.005625407,0.010431676,0.006540769,0.002345153,2.028015907,19.06931452,10.07945174,11.04990384,6.513413084,4.280533916,6.805143584,0.967762965,0.298494084,0.035284722,0.034551322,1.412366766,0.204048372,1.587486554,0.042211285,0.371589687,0.6890707,0.4320545,0.154910525,154,1.97,inc (fresh),1.Early,0,22.8,0.45,0,,0.25,17.91666667,3.33,0.3,0.06666667,1,,7.5,,0.75,5.25,1,0,2.08,2.39,1.26,2.41,1.27,0.454,-1.14,0.316636157,0.385470104,40965,0.385470104,-0.95329164
VAF2,5/7/10,3/5/12,1,2.404666449,23.62120596,14.78858461,13.99952919,11.66484488,6.885804119,12.31247616,1.910138194,0.758398312,3.1404369,0.474455152,4.63570056,2.2660708,1.13768871,0.023953952,0.235301335,0.147315667,0.139455535,0.116198707,0.068592557,0.12265005,0.019027736,0.007554743,,0.000827095,0.031283288,0.004726259,0.046178275,0.001247005,,0.022573339,0.011333023,0.001781436,3.940757798,38.71033823,24.23547355,22.94237268,19.11630133,11.28442836,20.17763689,3.130326864,1.242860133,,0.136068662,5.146535483,0.777535213,7.596967613,0.205149676,,3.7136278,1.864439726,0.293070965,127,2.66,inc (fresh),1.Early,0,22.9,1.5333333,0,,0.25,1.463888889,1.46388889,4.466666667,4.46666667,1,,9.3,11.3,6,0,0,1,1.46,2.85,1.51,2.01,1.01,1.14,0.186,0.256497961,0.309935036,40965,0.309935036,-1.171392565
VAF3,5/9/10,3/5/12,1,2.544076443,25.16578907,15.54054279,15.94446828,11.92084701,6.91651726,13.19061225,2.500390842,1.232732268,1.560596031,0.263776764,1.889235934,0.775585736,0.55482931,0.025290602,0.250172499,0.154488159,0.158503572,0.118504851,0.06875693,0.131127556,0.024856325,0.012254562,0.000316339,0.000414437,0.015513847,0.002622198,0.018780849,0.000469549,0.003220708,0.007710079,0.005515545,0.001481393,3.447472805,34.1021095,21.05895787,21.60631649,16.1539155,9.372558447,17.87457179,3.388274536,1.670472985,0.043121582,0.05649378,2.114760502,0.357443356,2.560099766,0.06400625,0.439028788,1.050994651,0.751848068,0.201935213,129,1.58,inc (early),1.Early,0,22.2,0.6666667,0.5666667,,0.25,1.289583333,1.28958333,5.333333333,5.01666667,1,,9.75,10.5,6,0,0,1,1.74,1.11,0.154,2.97,1.565,0.726,-0.461,0.580133098,0.70099416,40926,0.921667122,-0.08157116
VAF4,5/10/10,3/5/12,1,1.294453392,16.3443111,12.18748324,14.63121583,12.06514767,9.13227137,18.87939817,2.561897631,1.010261492,2.694560237,0.818814258,5.349798325,1.509136442,1.521250842,0.012899013,0.162868338,0.121446241,0.145797629,0.120227187,0.091001563,0.188130059,0.025528883,0.010067088,,,0.026850844,0.008159348,0.053309849,0.001464448,0.002052206,0.015038293,0.015159011,,0.954542792,12.05245738,8.987171226,10.78920391,8.896959756,6.734227638,13.92185578,1.889168766,0.744976861,,,1.986995489,0.603801769,3.944994435,0.108370921,0.151865737,1.112852206,1.121785484,,130,4.19,inc (mid),2.Mid,11,21,2.2,0.2166667,,0.25,3.061805556,3.06180556,3.8,3.68333333,1,,9.6,11,6,0,0,0,1.75,1.49,0.574,1.425,0.5065,1.79,0.843,0.269022396,0.365101823,40965,0.365101823,-1.007578997
